iter	Passed	Remaining
0	121	121617
1	169	84610
2	244	81358
3	270	67406
4	288	57317
5	307	50925
6	328	46553
7	353	43815
8	387	42616
9	418	41398
10	457	41169
11	502	41346
12	538	40916
13	592	41751
14	643	42234
15	686	42245
16	742	42935
17	782	42701
18	809	41792
19	843	41328
20	930	43384
21	967	43010
22	1001	42541
23	1074	43703
24	1137	44356
25	1189	44573
26	1238	44644
27	1272	44180
28	1304	43667
29	1342	43423
30	1363	42605
31	1395	42218
32	1426	41812
33	1455	41359
34	1492	41161
35	1518	40658
36	1561	40629
37	1615	40892
38	1656	40815
39	1683	40410
40	1717	40171
41	1755	40040
42	1795	39956
43	1822	39594
44	1840	39064
45	1880	39001
46	1919	38920
47	1944	38563
48	1975	38333
49	2000	38002
50	2036	37903
51	2078	37895
52	2117	37829
53	2144	37576
54	2258	38807
55	2312	38976
56	2355	38969
57	2393	38874
58	2438	38893
59	2498	39137
60	2532	38980
61	2557	38693
62	2589	38511
63	2619	38306
64	2647	38086
65	2680	37938
66	2717	37846
67	2753	37735
68	2823	38098
69	2867	38102
70	2919	38200
71	3006	38750
72	3119	39614
73	3150	39429
74	3178	39200
75	3213	39073
76	3241	38855
77	3280	38772
78	3316	38667
79	3351	38537
80	3380	38350
81	3417	38255
82	3449	38115
83	3480	37949
84	3526	37960
85	3579	38043
86	3626	38054
87	3667	38009
88	3707	37952
89	3753	37951
90	3814	38104
91	3880	38295
92	3913	38165
93	3941	37986
94	3969	37812
95	3996	37636
96	4028	37497
97	4061	37380
98	4091	37239
99	4120	37088
100	4146	36904
101	4182	36826
102	4474	38964
103	4555	39248
104	4656	39690
105	4766	40203
106	4796	40033
107	4822	39832
108	4863	39753
109	4890	39565
110	4917	39384
111	4946	39219
112	4988	39159
113	5014	38975
114	5055	38902
115	5137	39148
116	5161	38954
117	5199	38862
118	5226	38692
119	5254	38530
120	5286	38401
121	5319	38282
122	5347	38127
123	5377	37992
124	5404	37830
125	5440	37737
126	5474	37632
127	5522	37618
128	5549	37471
129	5575	37310
130	5599	37145
131	5629	37020
132	5700	37157
133	5980	38652
134	6080	38960
135	6114	38843
136	6200	39061
137	6295	39321
138	6454	39977
139	6642	40806
140	6776	41283
141	6910	41755
142	6960	41716
143	7043	41872
144	7070	41692
145	7106	41568
146	7140	41432
147	7204	41475
148	7274	41548
149	7300	41367
150	7345	41299
151	7450	41566
152	7501	41525
153	7553	41495
154	7591	41388
155	7642	41348
156	7673	41202
157	7712	41099
158	7748	40984
159	7779	40840
160	7804	40669
161	7851	40616
162	7885	40490
