iter	Passed	Remaining
0	62	62463
1	102	51302
2	155	51688
3	198	49525
4	251	50081
5	299	49614
6	337	47938
7	392	48615
8	429	47287
9	479	47421
10	531	47764
11	572	47160
12	613	46608
13	651	45867
14	690	45372
15	735	45263
16	771	44589
17	811	44284
18	852	44039
19	894	43820
20	940	43863
21	991	44055
22	1046	44468
23	1090	44336
24	1154	45010
25	1231	46139
26	1361	49078
27	1476	51256
28	1633	54679
29	1719	55606
30	1804	56404
31	1876	56759
32	1932	56629
33	2002	56888
34	2056	56696
35	2117	56714
36	2181	56778
37	2244	56819
38	2297	56615
39	2377	57049
40	2426	56766
41	2479	56545
42	2519	56071
43	2560	55638
44	2596	55095
45	2639	54734
46	2675	54253
47	2716	53882
48	2760	53567
49	2798	53167
50	2833	52729
51	2873	52378
52	2915	52091
53	2952	51726
54	2984	51284
55	3018	50877
56	3050	50468
57	3080	50032
58	3118	49732
59	3151	49365
60	3187	49060
61	3222	48750
62	3261	48504
63	3302	48302
64	3344	48108
65	3388	47947
66	3428	47738
67	3462	47457
68	3494	47155
69	3524	46824
70	3555	46520
71	3587	46242
72	3622	45999
73	3650	45682
74	3681	45403
75	3714	45166
76	3754	45001
77	3790	44802
78	3824	44585
79	3856	44354
80	3888	44115
81	3919	43880
82	3949	43630
83	3979	43400
84	4014	43210
85	4045	42994
86	4074	42760
87	4102	42514
88	4178	42772
89	4232	42799
90	4272	42676
91	4311	42548
92	4349	42416
93	4386	42275
94	4422	42125
95	4458	41982
96	4493	41835
97	4531	41705
98	4564	41545
99	4601	41410
100	4638	41287
101	4673	41143
102	4710	41026
103	4745	40884
104	4781	40757
105	4820	40655
106	4854	40513
107	4889	40381
108	4922	40237
109	4958	40117
110	4991	39975
111	5026	39849
112	5059	39713
113	5091	39569
114	5123	39426
115	5156	39296
116	5191	39177
117	5224	39053
118	5259	38934
119	5293	38819
120	5326	38696
121	5365	38611
122	5399	38502
123	5437	38412
124	5477	38345
125	5516	38265
126	5551	38161
127	5588	38073
128	5627	37993
129	5664	37907
130	5705	37845
131	5750	37812
132	5799	37804
133	5849	37804
134	5897	37790
135	5943	37760
136	5987	37717
137	6035	37696
138	6077	37644
139	6127	37642
140	6171	37596
141	6215	37556
142	6262	37528
143	6300	37453
144	6339	37378
145	6377	37306
146	6414	37219
147	6449	37126
148	6484	37035
149	6528	36992
150	6566	36921
151	6607	36864
152	6645	36789
153	6698	36800
154	6745	36774
155	6789	36734
156	6829	36669
157	6868	36602
158	6905	36524
159	6940	36439
160	6974	36345
161	7007	36247
162	7062	36268
163	7105	36220
164	7145	36161
165	7183	36092
166	7226	36045
167	7273	36019
168	7317	35982
169	7357	35922
170	7393	35843
171	7435	35792
172	7480	35761
173	7524	35720
174	7570	35690
175	7617	35665
176	7651	35578
177	7684	35486
178	7755	35569
179	7809	35578
180	7854	35538
181	7886	35447
182	7917	35348
183	7947	35245
184	7980	35156
185	8011	35062
186	8040	34958
187	8072	34865
188	8103	34770
189	8135	34681
190	8167	34593
191	8196	34491
192	8238	34449
193	8276	34385
194	8313	34320
195	8348	34247
196	8379	34156
197	8411	34069
198	8489	34171
199	8528	34114
200	8566	34051
201	8595	33955
202	8625	33866
203	8652	33761
204	8681	33667
205	8713	33584
206	8740	33485
207	8768	33387
208	8799	33304
209	8834	33234
210	8868	33160
211	8901	33085
212	8932	33005
213	8964	32926
214	8994	32840
215	9026	32763
216	9052	32665
217	9080	32572
218	9108	32481
219	9140	32405
220	9168	32317
221	9196	32228
222	9226	32146
223	9251	32050
